"Size";"add(E)";"add(int, E)";"addAll(Collection)";"addAll(int, Collection)";"addFirst(E)";"addLast(E)";"getFirst()";"getLast()";"clone()";"contains(Object)";"containsAll(Collection)";"element()";"equals(Object)";"get(int)";"hashCode()";"indexOf(Object)";"isEmpty()";"lastIndexOf(Object)";"offer(E)";"offerFirst(E)";"offerLast(E)";"peek()";"peekFirst()";"peekLast()";"poll()";"pollFirst()";"pollLast()";"push(E)";"pop()";"remove()";"remove(int)";"remove(Object)";"removeAll(Collection)";"removeFirst()";"removeFirstOccurrence(Object)";"removeLast()";"removeLastOccurrence(Object)";"retainAll(Collection)";"set(int, E)";"size()";"subList(int, int)";"toArray()";"toArray(T[])";"toString()";"clear()"
1000;26411;2859;48707;51903;115;75;104;92;15125;10873;22677;58;53095;1485;14818;2161;40;107;52;216;146;51;78;43;114;126;103;66;230;55;1107;13850;42778;28;16082;76;86;29992;3141;29;14426;10620;11781;76391;52
2500;24713;2842;27527;39200;54;58;52;43;20073;5162;65239;57;34931;2450;8431;4700;37;84;83;102;102;89;45;38;35;47;138;57;56;41;2229;15974;23185;28;15774;39;87;27395;4287;28;10831;8362;9445;57770;44
5000;15542;5112;36943;15770;54;42;122;91;11548;10484;251407;137;11556;4713;10757;10095;100;210;152;195;122;19;100;117;29;140;203;142;138;109;5030;10022;39517;25;10249;28;276;28823;6821;27;19651;9005;9850;121836;141
7500;20282;6993;14798;23132;57;48;24;30;15663;14485;548251;27;17085;6879;16674;15480;26;42;179;82;58;22;21;15;23;30;27;132;25;30;6832;14598;36053;26;14814;27;57;40927;7390;20;18827;12663;15459;130380;23
10000;27560;9544;28884;35956;91;49;25;19;20784;20147;973544;27;22782;9511;20182;19815;23;44;50;63;45;22;23;31;95;24;32;87;47;28;9569;19535;47532;30;19552;26;53;52886;9202;32;14267;19805;19754;176311;22
25000;67720;23711;85664;74912;59;42;26;30;54519;43296;5990190;24;53922;22545;50054;43158;26;42;50;64;55;24;26;18;27;29;32;62;25;25;22806;44408;116112;29;45344;22;55;129500;23062;38;41638;43778;40267;513442;27
50000;149849;44690;104065;150578;59;119;19;23;104511;77113;24789527;27;101999;45747;99465;74054;54;48;45;59;47;65;30;19;28;80;85;63;78;37;46217;82116;242047;67;87048;33;105;266373;44359;20;111795;70128;67452;980234;33
100000;324047;91978;216917;303783;54;43;29;47;211722;147160;98261289;50;221228;92304;203831;138172;50;66;60;99;47;35;26;29;23;18;45;63;19;35;92683;167600;504048;39;155904;51;50;549573;92853;31;143398;123245;129172;1953325;27
